X,Y,Bed
461890.0,-1047400.0,-171.94
461820.0,-1047400.0,-178.19
461750.0,-1047500.0,-176.95
461680.0,-1047600.0,-178.7
461640.0,-1047600.0,-185.96
461580.0,-1047700.0,-186.66
461510.0,-1047800.0,-195.32
461450.0,-1047800.0,-207.04
461380.0,-1047900.0,-208.73
461340.0,-1048000.0,-209.76
461290.0,-1048000.0,-213.18
461230.0,-1048100.0,-221.46
461180.0,-1048200.0,-229.2
461130.0,-1048200.0,-230.11
461090.0,-1048300.0,-227.97
461040.0,-1048400.0,-223.46
460990.0,-1048500.0,-223.15
460940.0,-1048600.0,-220.62
460890.0,-1048600.0,-209.12
460860.0,-1048700.0,-203.38
460820.0,-1048800.0,-196.38
460770.0,-1048900.0,-189.91
460730.0,-1048900.0,-190.59
460710.0,-1049000.0,-187.13
460660.0,-1049100.0,-184.92
460620.0,-1049200.0,-184.2
460580.0,-1049300.0,-175.62
460550.0,-1049400.0,-168.54
460520.0,-1049400.0,-170.23
460490.0,-1049500.0,-167.86
460450.0,-1049600.0,-158.38
460420.0,-1049700.0,-154.39
460390.0,-1049700.0,-153.74
460370.0,-1049800.0,-155.68
460330.0,-1049900.0,-163.89
460300.0,-1050000.0,-178.53
460270.0,-1050100.0,-192.18
460240.0,-1050200.0,-198.4
460230.0,-1050200.0,-203.63
460200.0,-1050300.0,-208.95
460180.0,-1050400.0,-211.1
460150.0,-1050500.0,-216.07
460140.0,-1050600.0,-220.92
460110.0,-1050700.0,-228.95
460080.0,-1050800.0,-242.23
460060.0,-1050900.0,-249.46
460030.0,-1050900.0,-257.3
460010.0,-1051000.0,-259.52
459990.0,-1051100.0,-260.88
459970.0,-1051200.0,-259.05
459940.0,-1051300.0,-261.9
459920.0,-1051400.0,-264.18
459900.0,-1051400.0,-263.75
459870.0,-1051500.0,-261.39
459840.0,-1051600.0,-258.24
459820.0,-1051700.0,-253.89
459790.0,-1051800.0,-241.15
459770.0,-1051900.0,-232.97
459750.0,-1051900.0,-234.51
459720.0,-1052000.0,-237.24
459690.0,-1052100.0,-235.36
459680.0,-1052200.0,-232.38
459650.0,-1052300.0,-228.23
459620.0,-1052400.0,-228.1
459590.0,-1052500.0,-231.02
459570.0,-1052600.0,-235.0
459540.0,-1052600.0,-241.46
459520.0,-1052700.0,-240.43
459490.0,-1052800.0,-238.16
459470.0,-1052900.0,-232.23
459450.0,-1053000.0,-225.29
459420.0,-1053000.0,-221.63
459400.0,-1053100.0,-227.2
459370.0,-1053200.0,-235.54
459340.0,-1053300.0,-235.78
459320.0,-1053400.0,-237.9
459300.0,-1053500.0,-245.46
459270.0,-1053600.0,-239.96
459240.0,-1053700.0,-229.09
459220.0,-1053800.0,-224.71
459200.0,-1053800.0,-222.7
459170.0,-1053900.0,-217.69
459150.0,-1054000.0,-217.99
459120.0,-1054100.0,-218.34
459090.0,-1054200.0,-219.13
459070.0,-1054300.0,-219.9
459050.0,-1054400.0,-221.11
459020.0,-1054500.0,-229.05
458990.0,-1054600.0,-237.44
458970.0,-1054600.0,-238.9
458950.0,-1054700.0,-239.66
458920.0,-1054800.0,-238.97
458890.0,-1054900.0,-237.68
458860.0,-1055000.0,-236.07
458830.0,-1055100.0,-229.87
458820.0,-1055200.0,-219.95
458790.0,-1055300.0,-211.99
458760.0,-1055400.0,-216.79
458730.0,-1055500.0,-221.16
458710.0,-1055500.0,-219.61
458680.0,-1055600.0,-216.93
458660.0,-1055700.0,-211.52
458630.0,-1055800.0,-206.99
458600.0,-1055900.0,-208.22
458570.0,-1056000.0,-211.28
458550.0,-1056100.0,-206.15
458520.0,-1056200.0,-195.2
458490.0,-1056300.0,-185.53
458470.0,-1056400.0,-184.16
458450.0,-1056500.0,-185.53
458410.0,-1056600.0,-177.12
458380.0,-1056700.0,-170.08
458350.0,-1056800.0,-178.08
458320.0,-1056900.0,-186.69
458310.0,-1056900.0,-194.41
458280.0,-1057000.0,-207.75
458250.0,-1057200.0,-215.81
458220.0,-1057300.0,-220.1
458200.0,-1057300.0,-229.99
458170.0,-1057400.0,-244.18
458140.0,-1057500.0,-250.8
458110.0,-1057600.0,-250.69
458070.0,-1057800.0,-244.54
458050.0,-1057800.0,-239.37
458030.0,-1057900.0,-240.64
457990.0,-1058000.0,-239.16
457960.0,-1058100.0,-233.64
457940.0,-1058200.0,-231.64
457910.0,-1058300.0,-227.4
457880.0,-1058400.0,-223.65
457850.0,-1058500.0,-218.48
457820.0,-1058700.0,-214.17
457790.0,-1058800.0,-217.68
457770.0,-1058800.0,-221.21
457740.0,-1058900.0,-214.16
457700.0,-1059100.0,-206.06
457670.0,-1059200.0,-197.04
457650.0,-1059200.0,-191.9
457620.0,-1059300.0,-195.02
457590.0,-1059500.0,-197.86
457560.0,-1059600.0,-190.5
457520.0,-1059700.0,-184.39
457500.0,-1059800.0,-179.96
457470.0,-1059900.0,-170.29
457440.0,-1060000.0,-161.06
457410.0,-1060100.0,-152.49
457380.0,-1060200.0,-149.14
457350.0,-1060300.0,-151.43
457320.0,-1060400.0,-154.41
457290.0,-1060500.0,-156.56
457250.0,-1060600.0,-167.65
457220.0,-1060800.0,-187.48
457200.0,-1060800.0,-212.48
457170.0,-1060900.0,-233.94
457130.0,-1061100.0,-255.35
457100.0,-1061200.0,-280.18
457080.0,-1061200.0,-290.72
457050.0,-1061400.0,-285.52
457010.0,-1061500.0,-279.56
456980.0,-1061600.0,-272.3
456940.0,-1061700.0,-268.26
456920.0,-1061800.0,-270.96
456890.0,-1061900.0,-273.04
456860.0,-1062000.0,-269.53
456820.0,-1062100.0,-265.87
456800.0,-1062200.0,-268.24
456770.0,-1062300.0,-264.92
456730.0,-1062500.0,-262.31
456700.0,-1062600.0,-268.06
456660.0,-1062700.0,-274.14
456630.0,-1062800.0,-275.07
456610.0,-1062900.0,-277.09
456570.0,-1063000.0,-280.04
456540.0,-1063100.0,-278.18
456500.0,-1063300.0,-279.0
456490.0,-1063300.0,-276.72
456450.0,-1063400.0,-275.21
456410.0,-1063600.0,-273.4
456380.0,-1063700.0,-266.9
456340.0,-1063800.0,-262.66
456320.0,-1063900.0,-267.13
456290.0,-1064000.0,-274.69
456250.0,-1064100.0,-293.94
456220.0,-1064300.0,-313.19
456190.0,-1064400.0,-318.87
456160.0,-1064500.0,-319.32
456130.0,-1064600.0,-317.62
456090.0,-1064700.0,-315.94
456050.0,-1064800.0,-317.93
456010.0,-1065000.0,-318.7
455990.0,-1065000.0,-316.76
455950.0,-1065100.0,-314.53
455910.0,-1065300.0,-315.57
455860.0,-1065400.0,-323.86
455840.0,-1065500.0,-332.78
455790.0,-1065600.0,-341.08
455750.0,-1065700.0,-347.2
455700.0,-1065800.0,-347.43
455660.0,-1066000.0,-360.04
455620.0,-1066100.0,-376.68
455590.0,-1066100.0,-381.76
455540.0,-1066300.0,-383.04
455500.0,-1066400.0,-384.0
455470.0,-1066500.0,-388.28
455430.0,-1066600.0,-390.06
455390.0,-1066700.0,-391.51
455340.0,-1066800.0,-392.08
455290.0,-1067000.0,-388.79
455250.0,-1067100.0,-388.79
455230.0,-1067200.0,-386.04
455180.0,-1067300.0,-388.79
455130.0,-1067400.0,-400.77
455090.0,-1067500.0,-407.7
455060.0,-1067600.0,-408.47
455020.0,-1067700.0,-403.24
454970.0,-1067900.0,-401.53
454930.0,-1068000.0,-403.7
454880.0,-1068100.0,-403.59
454840.0,-1068200.0,-404.59
454810.0,-1068300.0,-404.31
454760.0,-1068400.0,-409.6
454720.0,-1068600.0,-407.09
454680.0,-1068700.0,-397.72
454650.0,-1068700.0,-405.15
454600.0,-1068900.0,-421.94
454550.0,-1069000.0,-428.68
454510.0,-1069100.0,-425.85
454460.0,-1069300.0,-430.79
454440.0,-1069300.0,-429.66
454390.0,-1069500.0,-417.81
454340.0,-1069600.0,-409.96
454290.0,-1069700.0,-409.42
454270.0,-1069800.0,-413.86
454220.0,-1069900.0,-428.45
454180.0,-1070000.0,-449.99
454130.0,-1070200.0,-455.75
454080.0,-1070300.0,-463.32
454040.0,-1070400.0,-481.66
454010.0,-1070500.0,-484.38
453960.0,-1070600.0,-471.95
453910.0,-1070700.0,-460.63
453870.0,-1070800.0,-450.9
453840.0,-1070900.0,-433.34
453790.0,-1071100.0,-411.08
453740.0,-1071200.0,-401.24
453700.0,-1071300.0,-406.53
453650.0,-1071500.0,-412.04
453630.0,-1071500.0,-431.96
453580.0,-1071600.0,-458.24
453530.0,-1071800.0,-474.99
453490.0,-1071900.0,-490.64
453470.0,-1072000.0,-515.44
453420.0,-1072100.0,-540.8
453370.0,-1072200.0,-550.75
453330.0,-1072400.0,-550.48
453280.0,-1072500.0,-537.33
453240.0,-1072600.0,-509.57
453210.0,-1072700.0,-488.24
453160.0,-1072800.0,-498.46
453110.0,-1072900.0,-528.9
453080.0,-1073000.0,-546.9
453040.0,-1073100.0,-543.88
452990.0,-1073300.0,-525.13
452950.0,-1073400.0,-507.42
452900.0,-1073500.0,-512.79
452850.0,-1073700.0,-534.52
452830.0,-1073700.0,-549.54
452780.0,-1073900.0,-547.02
452730.0,-1074000.0,-524.34
452680.0,-1074100.0,-493.37
452660.0,-1074200.0,-495.45
452610.0,-1074300.0,-531.72
452560.0,-1074400.0,-571.06
452520.0,-1074600.0,-590.86
452470.0,-1074700.0,-587.98
452430.0,-1074800.0,-579.89
452400.0,-1074900.0,-576.15
452350.0,-1075000.0,-575.17
452300.0,-1075200.0,-572.1
452260.0,-1075300.0,-572.69
452230.0,-1075400.0,-576.2
452180.0,-1075500.0,-576.09
452140.0,-1075600.0,-574.59
452090.0,-1075700.0,-573.66
452050.0,-1075900.0,-565.23
452020.0,-1075900.0,-556.5
451980.0,-1076100.0,-553.06
451930.0,-1076200.0,-554.18
451890.0,-1076300.0,-553.18
